iter	Logloss
0	0.6575299277
1	0.6234194166
2	0.5926230823
3	0.5641641488
4	0.5371039168
5	0.5129955342
6	0.4900881588
7	0.4696519997
8	0.4495786959
9	0.4322989497
10	0.4157563943
11	0.4011194795
12	0.3874336588
13	0.3740550554
14	0.3614399046
15	0.3509804521
16	0.3413325413
17	0.3320181527
18	0.3223960384
19	0.3132454936
20	0.3045544371
21	0.2975291749
22	0.2903643738
23	0.2836676433
24	0.2773828357
25	0.2718066716
26	0.2659781646
27	0.260169504
28	0.2549571182
29	0.2503351015
30	0.2459182827
31	0.2420702333
32	0.237702146
33	0.2355557258
34	0.2321500219
35	0.2290985407
36	0.2257503173
37	0.2223908687
38	0.219225511
39	0.2167152315
40	0.2137630449
41	0.2113990299
42	0.2086967061
43	0.2063670713
44	0.2039180976
45	0.2018579731
46	0.1999430138
47	0.1980502859
48	0.1963288199
49	0.1946166743
50	0.1931310422
51	0.1918708034
52	0.1907529225
53	0.189858354
54	0.188753839
55	0.1876312387
56	0.186517684
57	0.1855224472
58	0.1844645256
59	0.1835707981
60	0.1826902484
61	0.1818806117
62	0.1811139017
63	0.1803932338
64	0.1797619382
65	0.1791680206
66	0.1785433719
67	0.1779375343
68	0.1774165716
69	0.176929375
70	0.1764309595
71	0.1758191179
72	0.1752730686
73	0.1746845804
74	0.1741941494
75	0.1736415555
76	0.1731245516
77	0.1726678041
78	0.1725324471
79	0.1721495104
80	0.1719076807
81	0.1715528349
82	0.1712583319
83	0.1709583639
84	0.1705570519
85	0.1702131641
86	0.169934446
87	0.169620885
88	0.1693265381
89	0.1691144715
90	0.1688279533
91	0.16855211
92	0.1684877996
93	0.1682322484
94	0.1679489311
95	0.1675673314
96	0.1672314496
97	0.1669212206
98	0.1665876757
99	0.1662779402
100	0.1659955365
101	0.1657593252
102	0.1655060703
103	0.1652412709
104	0.1650417981
105	0.1647963737
106	0.16450806
107	0.1642602555
108	0.1640879962
109	0.1638895007
110	0.1637135039
111	0.1635280597
112	0.1633722523
113	0.1632353076
114	0.1631237572
115	0.1629802161
116	0.1627598283
117	0.1624864354
118	0.1622890794
119	0.1621115406
120	0.1619097308
121	0.1617866187
122	0.1616826131
123	0.1614831051
124	0.1613226081
125	0.1612299948
126	0.1610531508
127	0.1608553742
128	0.1607159191
129	0.1606541776
130	0.1605213099
131	0.1604750479
132	0.160373376
133	0.1602608564
134	0.1600544328
135	0.1599872935
136	0.1599248611
137	0.1598686697
138	0.1597761422
139	0.1596915314
140	0.1595185027
141	0.1594523958
142	0.1593913318
143	0.1592845412
144	0.1592252702
145	0.1590958017
146	0.1590345203
147	0.1589022252
148	0.1587595487
149	0.1586588263
150	0.1586039641
151	0.1585192641
152	0.1584670296
153	0.1584457013
154	0.1583389961
155	0.1581515749
156	0.1580279276
157	0.1579467631
158	0.1577808785
159	0.1577113968
160	0.1575089184
161	0.1572816973
162	0.1571370516
163	0.156990138
164	0.1568478373
165	0.15679746
166	0.1566350764
167	0.1564799764
168	0.1563092886
169	0.156250413
170	0.1561901496
171	0.1561242919
172	0.1560262242
173	0.1559575887
174	0.1559006677
175	0.1557896909
176	0.1556832221
177	0.1555535226
178	0.1554673751
179	0.1553652306
180	0.1553050939
181	0.155258859
182	0.1551713986
183	0.1551290432
184	0.1550718917
185	0.1550161092
186	0.1549744449
187	0.1548311838
188	0.1547816084
189	0.1546999844
190	0.1546106824
191	0.1544466198
192	0.1544182426
193	0.1543731231
194	0.1543377554
195	0.1542823672
196	0.1541581796
197	0.1541235876
198	0.1541210214
199	0.1540745454
200	0.1540241173
201	0.1539345923
202	0.1538960892
203	0.1537894387
204	0.153773055
205	0.1537368852
206	0.1536379675
207	0.1535766649
208	0.1534842256
209	0.1534307535
210	0.1533926305
211	0.1533746481
212	0.1533455068
213	0.1532975666
214	0.1531940562
215	0.153169823
216	0.1531283052
217	0.1530494994
218	0.1529974012
219	0.1529605623
220	0.1529264641
221	0.152880579
222	0.1527870215
223	0.1527099418
224	0.1526555638
225	0.1526054637
226	0.1525654911
227	0.1525091909
228	0.1524941899
229	0.1524189139
230	0.1523437894
231	0.152318349
232	0.1522369541
233	0.1521966361
234	0.152168313
235	0.1521216217
236	0.1520534223
237	0.1520100225
238	0.1519857525
239	0.1519179727
240	0.1518909608
241	0.1518556537
242	0.1518176808
243	0.1517968214
244	0.1517550081
245	0.1517485028
246	0.1516856867
247	0.1516208078
248	0.151511473
249	0.1514066202
250	0.1513622808
251	0.1513294641
252	0.151271529
253	0.1512037718
254	0.1511654483
255	0.1511289915
256	0.1510852313
257	0.1510301831
258	0.1509721648
259	0.1509241541
260	0.1508554694
261	0.150794866
262	0.1507364839
263	0.1506293999
264	0.1505920232
265	0.1505614929
266	0.1505378768
267	0.1505021791
268	0.1504923269
269	0.1504181923
270	0.1504060784
271	0.150392091
272	0.1503630385
273	0.1503372349
274	0.1502455791
275	0.1501806291
276	0.1501154848
277	0.1500721103
278	0.1500403114
279	0.1499923151
280	0.1499555208
281	0.1499315407
282	0.1498856798
283	0.1498447833
284	0.1498421404
285	0.1497859775
286	0.1497320397
287	0.149683268
288	0.1496572426
289	0.1496199621
290	0.1496026067
291	0.1495674176
292	0.1495049929
293	0.1494865692
294	0.1494660517
295	0.1494449543
296	0.1494162203
297	0.1493635122
298	0.1493273985
299	0.1492981526
300	0.1492933705
301	0.1492606397
302	0.1492105337
303	0.1491631474
304	0.1490924323
305	0.1490752754
306	0.1490542794
307	0.1490149794
308	0.1489932217
309	0.1489631125
310	0.1489408875
311	0.1488977126
312	0.1488485682
313	0.1488198608
314	0.1487992547
315	0.1487700615
316	0.1487161822
317	0.1486547462
318	0.1486122375
319	0.1485740997
320	0.1485434969
321	0.148543483
322	0.1485024368
323	0.1485024363
324	0.148483889
325	0.1484668724
326	0.1484456392
327	0.1484408477
328	0.1483939913
329	0.1483704112
330	0.1482915795
331	0.1482860354
332	0.1482650482
333	0.1482477414
334	0.1481757863
335	0.1481209263
336	0.1480882308
337	0.1480752443
338	0.1480083934
339	0.1479783948
340	0.1479417394
341	0.1479269339
342	0.1479204184
343	0.1478704397
344	0.1478278909
345	0.1478129877
346	0.1477737674
347	0.1477668679
348	0.1477410469
349	0.1477260936
350	0.147668155
351	0.1476508281
352	0.147618849
353	0.14758253
354	0.1475679018
355	0.147539802
356	0.1475012124
357	0.147481124
358	0.1474432211
359	0.147406205
360	0.1473634088
361	0.1473408871
362	0.1473124495
363	0.1472683256
364	0.1472588484
365	0.1472320949
366	0.1471517722
367	0.1471443936
368	0.1471110514
369	0.1470774709
370	0.1470035776
371	0.1469765143
372	0.1469498736
373	0.146927733
374	0.1468989656
375	0.1468721896
376	0.1468602836
377	0.1468359662
378	0.1468175722
379	0.1467927655
380	0.1467864491
381	0.1467408178
382	0.1467318086
383	0.1466786871
384	0.146650643
385	0.1465887636
386	0.1465777012
387	0.1465727444
388	0.1465469972
389	0.1465017255
390	0.1464902074
391	0.146466951
392	0.1464157315
393	0.1463898714
394	0.1463580091
395	0.1463366439
396	0.1463227727
397	0.1463002419
398	0.1462641528
399	0.1462277007
400	0.146218201
401	0.1462143279
402	0.1462038371
403	0.1461799302
404	0.1461763957
405	0.1461515618
406	0.1461372343
407	0.1460917014
408	0.1460772912
409	0.1460344949
410	0.1460191596
411	0.1459845668
412	0.1459764015
413	0.1459383485
414	0.1459102888
415	0.1458849604
416	0.1458479028
417	0.1458137184
418	0.1457570183
419	0.1456975828
420	0.1456865723
421	0.1456825497
422	0.1456686751
423	0.1456652832
424	0.1456113878
425	0.145593818
426	0.145567335
427	0.1455636931
428	0.1455558703
429	0.1455301441
430	0.1455041691
431	0.1454354871
432	0.1453917631
433	0.1453511424
434	0.1453438135
435	0.1453302927
436	0.1453232273
437	0.1452784445
438	0.1452473425
439	0.1452333396
440	0.1452058603
441	0.1451738403
